Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
US,US-CA,CA-11,1399900,1231950,99268250,2435850,9253500,32030000,9295500,398497500,5347700,5921625,12977250,1063950,5011750,2085800,41130000,1931850
US,US-CA,CA-12,2602900,2290550,184571500,4529050,17205100,59554000,17283000,740940000,9943100,11010225,24129000,1978200,9318250,3878400,76473000,3592050
US,US-CA,CA-13,1737100,1528650,123177000,3022525,11482200,39745000,11534500,494482500,6635700,7347900,16102500,1320200,6218750,2588200,51036000,2397150
US,US-CA,CA-14,1361600,1198150,96548000,2369100,8999900,31152000,9040500,387577500,5201200,5759400,12621750,1034800,4874500,2028800,40002000,1878900
US,US-CA,CA-15,1236600,1088200,87688500,2151725,8174000,28294000,8211000,352012500,4723900,5230875,11463750,939850,4427000,1842600,36333000,1706550
US,US-CA,CA-16,856700,753900,60748500,1490650,5662800,19601000,5688500,243870000,3272600,3623850,7941750,651100,3067000,1276400,25170000,1182300
US,US-CA,CA-17,2119800,1865450,150316750,3688500,14012100,48502000,14075500,603427500,8097700,8966850,19650750,1611050,7589000,3158600,62280000,2925300
US,US-CA,CA-18,1615500,1421650,114555500,2810975,10678500,36963000,10727000,459870000,6171200,6833625,14976000,1227800,5783500,2407200,47463000,2229450
US,US-CA,CA-19,1068500,940250,75765750,1859150,7062600,24447000,7094500,304155000,4081600,4519650,9904500,812050,3825250,1592000,31392000,1474500
US,US-CA,CA-2,1254400,1103850,88947500,2182600,8291400,28700000,8329000,357067500,4791700,5305950,11628000,953300,4490750,1869000,36852000,1731000
US,US-CA,CA-20,1173400,1032550,83203250,2041650,7755900,26847000,7791000,334012500,4482300,4963350,10877250,891750,4200750,1748400,34473000,1619250
US,US-CA,CA-21,1541400,1356400,109298750,2682000,10188500,35267000,10234500,438765000,5888000,6519975,14288250,1171450,5518000,2296600,45285000,2127150
US,US-CA,CA-22,1169000,1028750,82897000,2034150,7727400,26748000,7762500,332782500,4465800,4945050,10836750,888500,4185250,1741800,34347000,1613250
US,US-CA,CA-23,829900,730300,58848250,1444025,5485600,18988000,5510500,236242500,3170200,3510450,7693500,630700,2971000,1236600,24381000,1145250
US,US-CA,CA-24,1158800,1019700,82168750,2016275,7659500,26513000,7694500,329857500,4426500,4901625,10741500,880650,4148500,1726600,34044000,1599150
US,US-CA,CA-25,2074600,1825700,147112500,3609875,13713400,47468000,13775500,590565000,7925100,8775750,19232250,1576750,7427250,3091200,60954000,2863050
US,US-CA,CA-26,1072800,944050,76071250,1866650,7091100,24545000,7123500,305377500,4098000,4537875,9945000,815300,3840500,1598400,31518000,1480500
US,US-CA,CA-27,1176400,1035250,83420250,2046975,7776200,26917000,7811500,334882500,4493900,4976250,10905750,894100,4211500,1752800,34563000,1623450
US,US-CA,CA-28,1579900,1390350,112034250,2749100,10443500,36149000,10491000,449745000,6035400,6683175,14646000,1200750,5656250,2354200,46419000,2180400
US,US-CA,CA-29,1423400,1252550,100931750,2476675,9408500,32567000,9451000,405180000,5437300,6020850,13194750,1081750,5095750,2120800,41820000,1964250
US,US-CA,CA-3,933100,821100,66165750,1623575,6167700,21349000,6195500,265612500,3564400,3946950,8649750,709150,3340500,1390400,27414000,1287600
US,US-CA,CA-30,1350100,1188150,95739000,2349250,8924500,30891000,8965000,384330000,5157600,5711100,12516000,1026100,4833500,2011800,39666000,1863150
US,US-CA,CA-31,1195000,1051600,84738500,2079325,7899000,27342000,7935000,340170000,4565000,5054925,11077500,908200,4278250,1780600,35109000,1649100
US,US-CA,CA-32,910000,800800,64529500,1583425,6015200,20821000,6042500,259050000,3476300,3849375,8436000,691600,3257750,1356000,26736000,1255800
US,US-CA,CA-33,1824700,1605750,129392000,3175050,12061500,41750000,12116000,519427500,6970500,7718625,16915500,1386800,6532500,2718800,53610000,2518200
US,US-CA,CA-34,1395300,1227900,98943500,2427900,9223200,31925000,9265000,397200000,5330200,5902275,12934500,1060450,4995250,2079000,40995000,1925550
US,US-CA,CA-35,1146300,1008750,81283250,1994550,7577000,26227000,7611500,326302500,4378800,4848825,10626000,871200,4103750,1708000,33678000,1581900
US,US-CA,CA-36,1173300,1032450,83196000,2041475,7755300,26844000,7790500,333982500,4481900,4962900,10876500,891700,4200250,1748200,34470000,1619100
US,US-CA,CA-37,1268800,1116500,89968750,2207675,8386600,29030000,8424500,361170000,4846700,5366925,11761500,964250,4542250,1890400,37278000,1750950
US,US-CA,CA-38,939800,827000,66638250,1635175,6211800,21502000,6240000,267510000,3589900,3975150,8711250,714200,3364250,1400200,27609000,1296900
US,US-CA,CA-39,1742200,1533150,123540500,3031450,11516000,39862000,11568500,495937500,6655300,7369575,16150500,1324100,6237250,2596000,51186000,2404200
US,US-CA,CA-4,1251500,1101350,88745750,2177650,8272600,28635000,8310000,356257500,4780800,5293950,11601750,951150,4480500,1864800,36771000,1727100
